affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"EDF R&D, PERICLES (Performance et prévention des Risques Industriels du parc par la simulation et Les Etudes) EDF Lab Paris Saclay",In HAL (Valid),"302313, 528389",EDF [EDF] | EDF R&D [EDF R&D],,,2-s2.0-85077745269,Dominique Vasseur,Palaiseau
"Crisis and Risk Research Centre, Ecole des Mines de Paris, MINES ParisTech",In HAL (Valid),"301492, 564132",Mines Paris - PSL (École nationale supérieure des mines de Paris) | Université Paris sciences et lettres [PSL],,,2-s2.0-85089179250,Enrico Zio,
"Dipartimento di Energia, Politecnico di Milano",In HAL (Valid),"450347, 125443",Politecnico di Milano [Milan] [POLIMI] | Dipartimento di Energia [Milano],,,2-s2.0-85089179250,Enrico Zio,
"System Science and the Energetic Challenge, EDF Foundation, Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85072530616,Tasneem Bani-Mustafa,Gif-sur-Yvette
"Chair System Science and the Energy Challenge, Fondation Electricité de France (EDF), CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85072563734,Jinduo Xing,Gif-sur-Yvette
"Department of Nuclear Engineering, College of Engineering, Kyung Hee University",In HAL (Valid),305304,Kyung Hee University [KHU],,,2-s2.0-85072563734,Enrico Zio,
"Chair System Science and the Energy Challenge, Fondation Electricité de France (EDF), CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85070696503,Enrico Zio,
"Politecnico di Milano, Energy Department",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85065030373,Enrico Zio,Milano
"Department on System Science and the Energy Challenge, Fondation Electricite de France, Laboratoire Genie Industriel, CentraleSupelec, Universite Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85056303883,Enrico Zio,Gif-sur-Yvette
"Sino-French Risk Science and Engineering Lab, Beihang University",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85050465530,Enrico ZIO,Beijing
"System Science and the Energy Challenge, Fondation Electricite de France, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85040599059,Enrico Zio,Chatenay-Malabry
"Chair System Science and the Energy Challenge, Fondation Electricité de France (EDF), CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85032888897,Enrico Zio,
Energy Department,Not in HAL,,,,,2-s2.0-85032888897,Enrico Zio,
"School of Reliability and Systems Engineering, Beihang University",In HAL (Valid),"411674, 529602",Beihang University [BUAA] | School of Reliability and Systems Engineering [Beijing],,,2-s2.0-85032888897,Rui Kang,
"School of Mechanical Engineering and Automation, Beihang University",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85059693463,Juan Chen,Beijing
"Department on Systems Science and the Energy Challenge, Fondation Electricité de France, Laboratoire Genie Industriel, CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85059693463,Juan Chen,Gif-sur-Yvette
"Siemens PLM Software, SIEMENS Company",Not in HAL,,,,,2-s2.0-85059693463,Jia Li,Beijing
